client_id,district_id,age,gender
187,58,57,M
188,64,39,M
189,11,80,M
190,37,52,F
191,37,45,M
192,70,28,M
193,1,37,M
194,28,75,F
195,74,80,M
196,74,72,F
197,30,66,M
198,60,23,M
199,29,76,M
200,29,71,F
201,17,69,F
202,29,23,F
203,31,37,M
204,31,32,F
205,4,57,F
206,59,36,F
207,46,67,M
208,13,59,F
209,13,64,M
210,66,60,M
211,66,54,F
212,52,24,M
215,71,32,M
216,1,39,M
217,59,25,F
218,1,19,F
219,60,35,F
221,21,22,F
222,47,27,F
223,43,47,F
224,77,44,M
225,32,63,M
226,1,57,M
227,52,73,F
228,48,43,F
229,76,30,M
230,74,32,F
231,41,58,M
232,55,78,F
233,69,41,F
234,69,44,M
235,44,56,F
236,70,38,M
237,70,30,F
238,6,38,F
239,1,25,F
240,34,70,F
241,70,40,M
242,17,38,F
243,63,45,M
246,67,29,F
247,1,42,M
248,61,30,F
249,61,29,M
250,8,20,F
251,54,23,F
252,37,30,F
253,48,52,F
254,28,36,M
255,27,48,F
256,73,36,F
257,22,57,F
258,22,62,M
259,31,33,M
260,31,37,F
261,38,62,F
262,77,54,M
263,68,37,M
264,28,21,M
265,72,66,F
266,19,32,F
267,37,32,M
268,39,17,F
269,15,76,F
270,46,52,M
271,46,54,F
272,70,55,F
273,27,27,F
274,17,29,F
275,1,81,F
276,1,42,M
277,1,38,F
278,22,27,F
279,22,29,M
280,45,30,F
282,73,61,F
283,73,66,M
284,10,25,M
285,72,45,M
286,72,47,F
287,50,19,M
288,6,37,M
289,54,41,M
290,72,40,M
291,72,44,F
292,15,41,F
293,69,56,M
294,58,31,M
295,12,60,M
296,65,25,M
297,65,75,F
298,65,78,M
300,1,42,F
301,28,57,M
302,56,28,M
303,74,53,M
304,19,65,F
305,46,61,M
308,68,23,F
309,37,30,F
310,11,49,M
311,64,69,F
312,2,75,M
313,24,57,F
314,24,54,M
315,54,32,M
316,75,44,M
317,64,42,F
318,15,56,F
319,19,70,F
320,19,65,M
321,47,56,F
322,38,66,M
323,38,61,F
324,3,39,M
325,3,39,M
326,27,32,F
327,27,31,M
328,1,81,F
329,11,35,M
330,65,55,F
331,1,57,M
332,29,21,M
333,38,28,M
334,32,30,M
335,73,32,F
336,39,35,F
337,39,42,M
338,8,48,F
339,1,33,M
340,1,29,F
341,69,22,M
342,69,27,F
343,44,80,M
344,54,36,F
345,17,46,M
346,17,39,F
347,71,40,M
348,71,46,F
349,39,72,F
350,25,74,F
351,1,26,M
352,56,59,M
353,7,34,M
354,49,77,F
355,49,69,M
356,1,20,F
357,1,20,M
358,7,40,F
359,66,29,M
360,49,56,M
361,74,22,F
362,35,49,F
363,35,57,M
364,54,57,F
365,1,69,M
366,1,63,F
367,60,36,F
368,60,31,M
369,7,69,F
370,71,43,F
371,4,57,M
372,34,67,M
373,16,63,M
374,26,32,M
375,61,30,F
376,14,26,F
378,50,21,M
379,50,16,F
380,41,26,M
381,73,22,F
382,73,21,M
383,15,60,F
384,15,64,M
385,45,51,M
386,62,19,M
387,76,72,M
388,36,49,F
389,47,25,F
390,47,22,F
391,47,66,F
392,74,49,F
393,74,43,M
394,52,75,F
395,52,80,M
396,1,79,M
397,75,69,M
398,61,74,F
399,45,47,M
400,1,66,M
401,1,71,F
402,3,56,M
403,42,26,F
404,42,32,M
405,65,65,F
406,36,22,M
407,73,24,F
408,35,21,F
409,74,74,M
410,62,37,M
411,17,58,F
412,17,55,M
413,49,27,F
414,46,52,F
415,46,54,M
416,1,67,F
417,1,69,M
418,28,33,M
419,64,29,F
420,18,21,M
421,54,34,M
422,69,53,M
423,37,42,M
424,1,52,M
425,25,51,M
426,72,62,M
427,72,58,F
428,47,80,F
429,50,18,F
430,39,79,M
431,24,72,F
432,59,47,F
433,62,44,M
434,70,56,F
435,20,32,M
436,2,44,M
437,11,79,F
438,32,61,M
439,51,31,F
440,15,29,F
441,1,40,M
442,1,28,F
443,1,28,M
444,74,39,F
445,1,52,F
446,1,47,M
447,23,53,M
448,77,29,F
450,25,46,M
451,12,20,M
452,55,46,F
453,67,30,M
454,38,50,F
455,68,79,M
456,25,59,M
457,70,49,M
458,68,38,M
459,32,32,F
461,68,29,F
462,14,29,M
463,38,55,M
464,24,40,F
465,5,47,M
466,1,52,F
467,1,49,M
468,72,40,M
469,59,29,F
470,30,45,F
471,44,22,M
472,36,18,M
473,1,60,F
474,46,50,M
476,1,52,F
477,1,45,M
478,21,21,M
479,11,52,M
480,11,53,F
481,69,72,M
482,69,65,F
483,1,55,M
484,28,40,F
485,32,21,M
486,68,55,M
487,1,77,F
488,1,82,M
489,41,59,M
490,55,49,M
491,63,33,M
492,72,64,M
493,41,57,F
494,1,19,M
495,49,62,F
496,70,48,F
497,74,46,M
498,74,51,F
499,18,64,F
500,1,28,M
501,62,62,M
502,6,80,M
503,73,40,M
504,36,20,M
505,13,22,M
506,75,53,M
507,75,45,M
508,53,28,M
509,73,19,M
510,12,23,M
511,9,40,M
512,60,34,F
513,8,25,F
514,8,31,M
515,1,67,M
516,1,69,F
517,63,34,M
518,54,20,F
519,18,19,M
520,46,52,F
521,69,24,M
522,1,43,F
523,38,77,M
524,30,36,F
525,30,30,M
526,43,35,M
527,43,33,F
528,37,22,M
529,69,21,M
530,29,42,F
531,27,23,M
532,27,19,F
533,54,58,F
534,74,42,M
535,26,62,M
536,47,60,M
537,1,64,M
538,5,51,F
540,19,78,M
541,19,72,F
542,59,78,F
543,11,41,F
544,63,51,M
545,75,26,F
546,7,46,M
547,54,50,M
548,49,62,M
550,7,38,M
551,47,23,F
552,1,65,F
553,1,58,M
554,30,74,F
555,30,73,M
556,29,53,M
557,51,60,M
558,43,79,F
559,32,27,F
560,71,32,F
561,74,37,F
562,49,24,F
563,72,38,F
564,72,44,M
565,64,40,F
566,47,53,F
567,47,49,M
568,8,39,F
569,73,37,M
570,61,58,F
571,3,75,M
572,3,79,F
573,69,32,M
574,1,27,M
575,58,29,M
576,58,25,F
577,1,36,F
578,23,22,F
579,72,66,F
581,70,50,F
582,1,49,M
583,75,34,F
584,33,23,F
585,40,57,F
586,40,52,M
587,25,54,F
588,61,39,F
589,45,38,M
590,44,50,M
591,65,25,F
592,26,34,M
593,60,45,F
596,69,51,M
597,55,56,M
598,1,29,M
599,1,22,F
601,56,33,M
602,56,34,F
603,13,33,F
604,1,34,F
605,1,29,F
606,10,50,F
607,64,35,M
608,67,27,M
609,52,37,M
610,74,20,F
611,36,47,M
612,36,39,F
613,1,22,F
614,14,52,F
615,68,50,F
616,58,24,M
617,70,25,M
618,57,67,F
619,6,79,M
620,6,81,F
621,54,60,M
622,74,68,F
623,24,74,M
624,24,67,F
625,60,21,F
626,9,19,M
627,17,27,M
628,17,29,F
629,16,23,M
630,61,47,M
631,70,43,F
632,67,53,M
633,67,61,F
635,17,72,F
636,17,64,M
637,39,29,F
638,54,38,F
639,31,21,M
640,26,20,M
641,40,37,F
642,40,36,M
643,1,50,F
644,35,38,F
645,14,74,M
646,34,77,F
647,34,70,M
648,70,64,F
649,13,21,F
651,54,23,F
652,61,61,M
653,1,69,F
654,64,57,F
655,32,57,M
656,1,43,M
657,8,73,F
658,8,73,M
659,24,34,M
660,16,76,M
661,16,80,F
662,5,54,M
663,24,76,M
664,77,19,F
665,62,67,F
666,26,17,M
667,26,18,F
668,1,57,F
669,12,43,F
670,1,40,M
671,10,28,F
672,46,70,F
673,36,60,M
674,11,72,F
675,50,24,M
676,70,46,M
677,5,36,M
678,39,66,F
679,8,59,M
680,8,59,F
681,15,22,M
682,18,20,M
683,76,54,F
684,3,23,F
685,72,69,F
686,32,28,F
687,32,24,M
688,1,45,M
689,70,35,M
690,38,57,M
691,38,55,F
692,74,63,F
693,74,64,M
694,29,63,M
695,28,44,M
696,28,47,F
697,1,25,M
698,75,45,M
699,26,77,F
700,12,70,M
702,31,31,F
703,4,40,M
704,54,24,M
705,19,61,M
706,1,51,M
707,1,58,M
708,50,22,F
709,1,65,M
710,23,74,M
711,48,36,F
712,54,37,M
713,20,19,F
714,31,29,M
715,1,47,F
716,1,45,F
717,54,31,M
718,54,39,F
719,46,25,M
720,29,45,M
721,43,59,M
722,62,29,F
723,12,42,F
724,65,46,F
725,75,43,M
726,16,64,M
727,32,69,F
728,32,67,M
729,63,30,F
730,63,26,M
731,74,20,F
732,74,21,M
733,46,21,M
734,46,14,F
735,1,26,M
736,1,22,F
737,74,47,M
738,25,79,M
739,72,57,M
740,55,76,M
741,74,58,M
742,1,48,F
743,1,58,M
744,26,59,M
745,52,33,F
746,52,37,M
747,24,46,F
748,25,63,M
749,25,66,F
750,70,43,F
751,70,40,M
752,72,55,M
753,72,59,F
754,63,52,F
755,72,52,M
756,31,79,M
757,71,29,F
758,68,38,F
759,29,44,M
760,57,63,F
762,21,62,M
763,75,72,F
764,49,44,F
765,65,30,M
766,1,73,F
767,1,76,M
768,32,68,F
769,40,22,M
772,64,55,M
773,4,64,M
774,70,26,M
775,51,59,F
776,1,46,F
777,1,38,M
778,13,59,M
779,69,55,F
780,3,75,M
781,72,54,M
782,5,36,F
783,27,28,F
784,27,35,M
785,63,65,M
786,53,21,M
787,3,52,M
788,47,25,M
789,4,68,M
790,63,32,F
791,68,49,F
793,21,21,M
794,21,20,F
796,1,80,M
797,8,51,M
798,27,59,F
799,27,63,M
803,35,48,M
804,35,43,F
806,60,19,M
807,53,30,F
808,31,36,M
809,49,80,M
810,58,54,F
811,58,59,M
812,39,59,M
813,70,35,M
814,19,40,M
815,22,35,F
816,17,41,F
818,54,33,M
819,74,41,M
820,74,39,F
821,49,51,M
822,37,40,F
823,41,43,M
824,27,47,M
825,74,22,M
826,1,21,M
827,10,34,F
828,10,41,M
829,24,42,M
830,69,51,M
831,2,51,M
832,67,76,F
833,5,39,M
834,54,77,M
835,28,56,F
836,28,51,M
837,71,25,M
838,71,31,F
839,47,44,F
840,20,62,M
841,69,18,M
842,12,66,F
843,54,42,F
844,22,54,M
845,22,46,F
846,35,50,M
847,49,20,M
849,26,60,F
850,19,30,M
851,25,80,M
852,25,83,F
853,70,50,M
854,72,58,F
855,58,69,M
856,23,80,M
857,32,51,M
858,47,40,F
859,1,31,F
860,1,32,M
861,1,43,F
862,30,47,M
863,54,31,F
864,11,46,M
865,11,53,F
866,38,24,F
870,70,42,M
871,76,25,M
872,35,36,M
873,60,55,M
874,14,47,F
875,14,43,M
876,1,39,M
877,5,72,F
878,5,79,M
879,38,56,F
880,49,39,M
881,5,24,F
882,70,66,F
883,75,79,F
884,75,81,M
885,34,76,M
886,34,51,M
887,66,26,F
888,28,26,M
889,54,18,F
890,77,80,M
891,33,68,M
892,42,77,F
893,43,64,F
894,75,65,M
895,39,29,M
896,36,26,F
897,36,18,M
898,38,56,F
899,38,55,M
900,73,22,M
901,39,80,M
902,23,49,M
903,31,65,M
904,1,67,M
905,38,59,M
906,65,21,M
907,51,51,M
908,51,38,F
909,23,24,M
910,1,38,M
911,43,60,M
912,76,79,M
913,1,61,M
914,1,78,F
915,12,24,M
916,3,41,M
917,25,26,F
918,26,35,M
921,7,45,F
922,22,27,F
923,22,21,M
924,1,46,M
925,54,40,M
926,1,18,M
927,1,25,M
928,66,48,F
929,30,64,M
930,68,40,F
931,16,31,M
932,3,52,M
933,33,21,F
934,33,17,M
935,42,53,F
936,42,56,M
937,1,68,M
938,59,55,F
939,21,47,M
940,53,39,M
941,10,64,M
942,12,68,F
943,12,63,M
944,39,29,M
945,39,22,F
946,54,48,M
948,49,75,M
949,3,23,M
950,76,34,F
951,76,39,M
952,63,48,F
953,25,62,M
954,1,57,F
955,57,29,M
956,1,33,M
957,56,58,F
958,56,57,M
959,11,37,F
960,16,42,F
961,15,68,F
962,19,33,M
963,64,33,F
964,10,46,F
965,13,27,F
966,13,21,M
967,76,20,M
968,69,42,M
970,36,42,M
971,46,80,F
972,46,82,M
973,14,29,F
974,14,36,M
975,1,40,F
976,16,44,F
977,76,73,F
978,56,31,F
979,56,33,M
980,40,38,M
981,5,39,M
984,20,50,M
985,20,52,F
986,74,44,M
987,60,47,M
988,40,60,F
989,40,66,M
990,71,38,M
991,32,58,M
992,19,51,M
993,44,30,F
994,36,28,M
995,36,26,F
996,1,19,F
997,59,49,M
998,59,46,F
999,74,33,F
1000,74,38,M
1001,44,52,M
1002,42,55,F
1003,31,62,F
1004,3,42,M
1006,46,57,F
1007,46,61,M
1008,6,43,M
1009,33,37,F
1010,33,44,M
1011,16,60,M
1012,70,33,F
1013,70,26,M
1014,1,68,M
1015,62,65,M
1016,62,59,F
1017,6,56,F
1018,53,54,M
1019,14,53,F
1020,72,22,F
1021,2,22,M
1022,31,59,M
1023,1,61,M
1024,25,43,M
1025,15,35,M
1026,57,20,M
1027,1,59,F
1028,1,65,M
1029,1,45,F
1030,1,52,M
1031,2,31,F
1032,1,61,F
1033,1,62,M
1034,52,25,F
1035,13,28,F
1036,13,23,M
1037,1,34,F
1038,69,38,F
1039,70,19,F
1040,1,39,M
1041,72,38,M
1042,17,33,F
1043,17,36,M
1044,9,28,F
1045,60,52,F
1046,1,24,M
1047,16,36,F
1048,70,25,F
1049,1,57,M
1050,27,28,F
1051,73,28,F
1052,56,35,M
1053,56,41,F
1054,63,75,M
1055,4,80,M
1056,1,36,M
1057,52,60,M
1058,9,24,F
1059,26,39,M
1060,26,42,F
1062,16,24,M
1063,16,23,F
1064,1,48,F
1065,2,42,M
1066,1,59,M
1067,1,47,M
1068,13,73,F
1069,54,61,F
1070,54,61,M
1071,43,74,M
1072,60,33,F
1073,34,75,M
1074,34,71,F
1075,65,65,F
1076,53,20,F
1077,46,79,M
1078,24,21,F
1079,3,38,M
1080,54,49,F
1081,71,29,M
1082,9,32,M
1083,48,62,M
1084,48,55,F
1085,60,67,F
1086,74,26,M
1087,74,21,F
1088,47,30,F
1089,1,60,M
1090,35,60,F
1091,59,59,F
1092,41,37,F
1093,62,23,F
1094,30,39,F
1095,30,45,M
1096,1,73,F
1097,1,69,M
1098,60,51,F
1099,65,20,F
1100,59,48,M
1101,74,53,M
1102,72,64,M
1103,1,48,M
1104,1,44,F
1105,56,57,M
1106,56,59,F
1107,60,38,M
1108,62,44,F
1109,58,68,F
1110,10,71,F
1111,61,20,M
1112,13,69,F
1113,11,23,M
1114,59,19,M
1115,36,79,F
1116,69,26,F
1117,20,23,F
1118,20,30,M
1119,54,19,F
1120,41,26,F
1121,59,60,M
1122,20,78,M
1123,20,77,F
1124,21,71,M
1125,9,65,F
1126,9,64,M
1127,23,25,M
1128,7,69,M
1129,43,68,M
1130,70,59,F
1131,55,52,F
1132,55,51,M
1133,37,41,F
1134,37,40,M
1135,8,47,M
1136,9,23,F
1137,1,22,F
1138,70,29,F
1139,70,26,M
1140,18,53,M
1141,21,58,F
1142,59,53,F
1143,59,53,M
1145,58,31,F
1146,54,34,M
1147,3,69,M
1148,41,58,M
1149,14,23,F
1150,74,54,F
1151,59,26,M
1152,74,18,M
1153,70,19,F
1154,72,75,M
1155,72,77,F
1156,1,66,F
1157,4,41,F
1158,1,45,F
1159,64,55,M
1160,64,61,F
1161,7,26,M
1162,26,24,F
1163,20,35,M
1164,15,40,F
1165,15,57,F
1166,74,40,M
1167,74,45,F
1168,19,21,M
1169,18,58,F
1170,12,22,M
1171,46,25,F
1172,54,76,F
1173,54,77,M
1174,29,29,F
1175,1,74,M
1176,1,81,F
1177,77,60,F
1178,1,28,F
1179,1,69,F
1180,21,55,M
1181,1,60,M
1182,66,53,F
1183,54,57,M
1186,2,52,F
1187,32,38,F
1188,32,31,M
1189,74,67,F
1190,15,23,F
1191,15,22,M
1192,10,74,F
1193,19,73,M
1194,17,60,F
1195,39,60,F
1196,22,56,M
1197,6,33,F
1198,72,24,F
1199,64,23,F
1200,47,68,F
1201,54,54,M
1202,47,19,F
1204,77,25,F
1206,50,42,M
1207,28,60,F
1208,70,24,F
1209,36,42,F
1210,6,38,M
1211,1,21,M
1212,13,72,F
1213,1,33,M
1214,61,59,M
1215,45,55,M
1216,65,54,F
1217,59,62,M
1218,74,19,M
1219,1,55,M
1220,40,46,F
1221,14,26,F
1222,7,60,F
1223,14,44,F
1224,56,61,M
1225,42,53,M
1226,33,48,F
1227,33,44,M
1228,21,50,F
1229,19,28,M
1231,20,34,F
1232,20,40,M
1233,68,57,M
1234,23,24,M
1235,23,20,F
1236,26,32,F
1237,57,76,M
1238,74,64,M
1239,11,23,F
1240,32,23,F
1241,73,57,F
1242,73,55,F
1243,11,25,F
1244,1,35,M
1245,64,20,M
1246,70,37,M
1247,70,30,F
1248,19,28,M
1250,43,47,F
1251,1,40,M
1252,1,46,F
1253,14,32,F
1254,3,60,F
1255,1,33,F
1256,46,44,F
1257,35,71,F
1258,35,75,M
1259,18,33,M
1260,57,54,F
1261,57,48,M
1262,35,47,M
1263,35,40,F
1264,61,23,F
1265,57,41,F
1266,71,47,F
1267,29,45,F
1268,29,50,M
1269,1,51,F
1270,13,69,M
1271,47,64,M
1272,8,55,M
1273,6,21,M
1274,44,23,M
1275,1,48,F
1276,68,57,F
1277,70,68,M
1278,72,21,M
1279,16,43,M
1280,34,47,M
1281,34,50,F
1282,52,63,M
1283,66,60,F
1284,66,56,M
1285,62,60,M
1286,52,49,F
1287,65,55,F
1288,73,27,M
1289,59,53,M
1290,35,23,M
1291,1,35,F
1292,14,22,M
1293,1,72,M
1294,1,69,F
1295,74,55,F
1296,55,40,F
1297,64,81,F
1298,64,78,M
1299,2,79,F
1300,45,20,M
1303,42,59,F
1304,37,63,M
1305,55,54,F
1306,32,77,F
1307,74,46,M
1308,69,45,M
1309,1,24,M
1310,41,22,F
1311,54,43,F
1312,35,64,F
1313,54,29,M
1314,54,24,F
1315,34,76,M
1316,67,53,F
1317,67,54,M
1318,47,68,M
1321,35,22,F
1322,4,54,F
1323,70,55,M
1324,66,43,F
1325,39,54,M
1326,55,43,F
1327,20,36,F
1328,42,62,F
1329,26,81,M
1330,66,31,M
1331,54,36,M
1332,5,42,F
1333,48,50,M
1334,8,21,M
1335,1,38,F
1336,1,37,M
1337,56,20,F
1338,56,16,M
1339,22,40,M
1340,68,60,F
1341,69,37,F
1343,1,60,F
1344,1,64,M
1345,32,31,M
1346,13,45,M
1347,13,29,M
1348,13,24,F
1349,26,31,F
1350,1,40,M
1351,1,48,F
1352,54,28,F
1353,27,40,M
1354,64,78,M
1355,35,23,F
1356,1,67,M
1359,1,48,F
1360,1,53,M
1361,1,77,F
1362,1,70,M
1363,6,20,F
1364,1,66,M
1365,1,61,F
1366,12,19,F
1367,60,34,F
1368,60,42,M
1369,41,21,M
1370,34,34,F
1371,49,51,F
1372,28,23,F
1373,74,24,F
1375,69,22,M
1376,18,41,M
1377,18,48,F
1378,74,58,F
1379,74,62,M
1380,44,46,F
1382,18,20,F
1383,29,17,M
1384,40,46,F
1385,22,46,M
1386,22,43,F
1387,1,22,F
1388,5,37,F
1389,43,72,F
1390,59,20,F
1391,41,34,M
1392,50,67,M
1393,50,65,F
1394,49,57,F
1395,49,58,M
1396,39,53,F
1397,66,78,F
1401,35,18,M
1402,44,63,M
1403,44,55,F
1404,11,31,F
1406,29,51,F
1407,29,58,M
1408,49,30,M
1409,25,48,M
1410,18,55,M
1411,18,60,F
1412,6,20,M
1413,11,30,F
1414,70,25,F
1416,19,72,M
1417,27,33,F
1418,41,25,F
1419,74,81,F
1420,74,83,M
1421,20,43,F
1422,69,23,F
1423,69,17,M
1424,8,47,M
1425,12,31,M
1426,12,35,F
1427,14,34,F
1428,12,79,M
1429,12,72,F
1430,64,17,F
1431,55,69,F
1432,16,38,F
1433,72,40,F
1434,72,32,M
1435,52,46,M
1438,29,36,F
1439,29,25,M
1440,1,21,M
1441,42,68,F
1442,42,66,M
1443,29,64,M
1444,29,57,F
1445,68,58,M
1446,70,45,M
1447,70,47,F
1448,50,42,F
1449,41,50,M
1450,61,30,F
1452,72,59,F
1453,29,33,F
1454,73,74,M
1455,73,72,F
1456,70,71,M
1457,70,65,F
1458,67,61,M
1459,4,23,M
1460,23,66,F
1461,28,30,M
1462,49,58,M
1463,70,63,F
1464,36,71,F
1465,36,68,M
1466,39,46,M
1467,65,75,M
1468,77,59,F
1469,54,33,F
1470,1,57,M
1471,1,61,F
1472,1,32,F
1473,1,68,F
1474,45,28,F
1475,19,67,M
1476,70,29,M
1478,4,30,M
1479,1,43,M
1480,69,56,M
1481,62,66,F
1482,46,49,F
1483,1,48,F
1484,1,47,M
1485,7,21,M
1486,7,25,F
1487,48,23,F
1488,31,38,M
1489,6,71,M
1490,42,71,M
1491,19,17,M
1492,9,31,F
1493,1,77,M
1494,1,84,F
1495,1,68,F
1496,1,57,F
1497,53,51,F
1498,53,58,M
1499,74,48,F
1500,1,18,M
1501,68,53,M
1502,68,26,M
1503,58,77,M
1504,58,81,F
1505,65,28,F
1506,22,68,M
1507,22,70,F
1508,67,45,F
1509,62,57,F
1510,34,51,F
1511,13,37,F
1512,5,57,F
1513,74,40,M
1514,68,42,M
1516,38,53,F
1517,66,43,M
1518,3,39,F
1519,3,40,M
1520,72,43,M
1521,5,20,M
1522,52,31,F
1523,29,68,F
1524,30,37,F
1525,1,56,M
1526,1,64,F
1527,49,65,M
1528,57,35,M
1529,43,27,F
1530,74,54,F
1531,52,39,F
1532,52,37,M
1533,55,39,M
1534,17,47,F
1535,40,63,M
1536,37,32,F
1537,54,20,M
1539,32,76,M
1540,36,62,M
1541,36,66,F
1542,31,80,M
1543,31,72,F
1546,28,69,M
1547,28,72,F
1548,70,76,M
1549,70,71,F
1550,8,53,F
1554,55,55,M
1555,30,49,M
1556,66,49,M
1557,35,40,F
1558,11,72,F
1559,72,59,M
1561,1,76,F
1562,1,80,M
1563,3,21,M
1564,40,52,F
1565,71,39,M
1566,15,33,F
1567,50,69,M
1568,50,72,F
1569,54,43,F
1570,54,41,M
1571,7,32,F
1572,1,36,F
1574,18,20,M
1575,55,76,F
1576,55,80,M
1577,23,55,M
1578,40,28,F
1579,27,36,M
1580,1,31,F
1581,56,36,F
1582,54,65,M
1583,1,27,F
1584,1,37,F
1585,60,64,M
1586,60,65,F
1587,23,71,M
1588,45,49,M
1589,48,48,F
1590,13,59,F
1591,42,46,F
1592,56,71,M
1593,56,74,F
1594,56,60,M
1595,56,45,F
1596,58,21,F
1597,60,43,M
1598,67,74,M
1599,43,35,M
1600,43,34,F
1601,42,30,F
1602,42,31,M
1603,26,31,M
1604,26,30,F
1605,52,19,F
1606,65,17,M
1607,8,58,F
1608,53,58,M
1609,53,55,F
1610,68,57,F
1611,59,36,F
1612,59,40,M
1613,50,38,M
1614,21,61,M
1615,74,47,F
1616,54,61,M
1617,5,49,F
1618,17,20,F
1619,74,57,F
1620,74,63,M
1621,76,47,F
1622,52,49,M
1623,36,36,M
1624,9,34,M
1625,9,26,F
1628,12,42,F
1629,28,33,M
1630,28,35,F
1631,74,23,M
1632,8,56,F
1633,55,27,F
1634,55,30,M
1635,75,69,F
1636,75,67,M
1637,21,56,M
1638,40,45,F
1639,1,40,F
1640,51,46,F
1641,31,76,F
1642,1,40,F
1643,39,23,F
1644,56,23,M
1645,39,38,F
1646,8,33,M
1647,71,21,F
1648,46,47,M
1649,46,49,F
1650,1,46,M
1651,11,33,F
1653,42,55,M
1654,60,36,M
1655,74,27,M
1656,22,31,F
1657,32,64,M
1658,52,70,F
1659,1,62,F
1660,1,17,F
1661,47,46,F
1662,53,32,M
1663,19,42,M
1664,64,81,F
1665,64,87,M
1666,1,58,M
1667,1,59,F
1668,20,50,F
1669,47,47,M
1670,53,38,M
1671,57,68,F
1672,57,71,M
1673,48,27,M
1674,11,79,F
1675,74,59,M
1676,53,46,M
1677,53,53,F
1679,67,57,F
1680,29,24,F
1681,34,59,M
1682,69,43,M
1683,15,48,F
1684,15,53,M
1685,61,55,F
1686,1,52,F
1687,1,52,M
1688,32,76,M
1689,1,63,M
1690,46,52,F
1691,21,21,F
1692,62,27,M
1693,45,19,F
1694,45,20,M
1696,1,76,F
1697,55,35,F
1698,55,32,M
1699,17,44,M
1700,7,50,M
1701,7,54,F
1702,53,26,F
1703,50,81,M
1704,50,85,F
1705,19,53,F
1706,19,55,M
1707,10,48,M
1709,74,47,F
1710,54,55,M
1711,64,37,F
1712,64,35,M
1713,65,64,M
1714,58,54,M
1717,73,20,F
1718,75,61,M
1719,35,29,M
1720,33,65,F
1721,33,65,M
1722,68,66,M
1723,71,18,F
1724,68,65,F
1725,76,40,F
1726,76,47,M
1727,32,48,M
1728,32,53,F
1729,76,52,M
1730,40,67,M
1731,17,31,F
1733,57,25,F
1734,26,24,M
1735,26,23,F
1736,41,20,F
1737,27,44,M
1738,27,36,F
1741,70,67,M
1742,1,45,M
1743,3,40,M
1744,50,30,F
1745,23,40,F
1746,11,40,F
1747,11,43,M
1748,64,23,M
1749,50,71,F
1750,23,35,M
1751,54,40,M
1752,70,21,M
1753,60,20,F
1754,57,20,M
1755,65,34,F
1756,1,63,M
