age,gender,frequency,account_age,card_type,loan_id,loan_date,amount,duration,payments,status,loan_year,loan_month,client_district_habitants,client_district_mun_under_499,client_district_mun_under_1999,client_district_mun_under_9999,client_district_mun_higher_10000,client_district_cities,client_district_inhab_ration,client_district_average_salary,client_district_95_unemp,client_district_96_unemp,client_district_entrepren,client_district_95_crimes,client_district_96_crimes,account_district_habitants,account_district_mun_under_499,account_district_mun_under_1999,account_district_mun_under_9999,account_district_mun_higher_10000,account_district_cities,account_district_inhab_ration,account_district_average_salary,account_district_95_unemp,account_district_96_unemp,account_district_entrepren,account_district_95_crimes,account_district_96_crimes,credit count,credit balance mean,credit balance min,credit balance max,credit amount mean,credit amount min,credit amount max,credit amount std,withdrawal count,withdrawal balance mean,withdrawal balance min,withdrawal balance max,withdrawal amount mean,withdrawal amount min,withdrawal amount max,withdrawal amount std,OPERATION A amount mean,OPERATION A count,OPERATION B amount mean,OPERATION B count,OPERATION C amount mean,OPERATION C count,OPERATION D amount mean,OPERATION D count,OPERATION E amount mean,OPERATION E count,OPERATION F amount mean,OPERATION F count,balance_to_loan_ratio,balance_on_request
57,1,1,4,1,5088,96-08-22,91152,24,3798,1,96,8,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,31,48733.0,400.0,72328.0,12375.0,70.0,34184.0,12927.0,46.0,42199.0,17217.0,62618.0,7484.0,15.0,26700.0,7671.0,2550.0,2,25068.0,15.0,7610.0,45.0,0.0,0.0,1800.0,1.0,179.0,14.0,0.43201246269966653,39378.8
29,1,1,4,0,5125,95-11-23,73056,48,1522,1,95,11,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,23,22910.0,500.0,33555.0,3180.0,16.0,8538.0,3043.0,28.0,23539.0,15854.0,33541.0,1842.0,15.0,7100.0,1691.0,5162.0,14,0.0,0.0,1812.0,18.0,1897.0,10.0,0.0,0.0,96.0,9.0,0.29492033508541393,21545.7
48,1,1,6,0,5126,94-07-24,208128,48,4336,-1,94,7,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,29,43573.0,300.0,96064.0,11824.0,31.0,47493.0,15657.0,35.0,30401.0,-1070.0,59663.0,7469.0,15.0,36500.0,9511.0,21316.0,16,0.0,0.0,7469.0,35.0,0.0,0.0,0.0,0.0,140.0,13.0,0.3914639068265683,81474.6
42,1,1,4,0,5128,96-04-11,215616,48,4492,-1,96,4,42821,4,13,5,1,3,48.4,8173,5.68,7.01,124,1309,1358,42821,4,13,5,1,3,48.4,8173,5.68,7.01,124,1309,1358,30,24250.0,-3394.0,50125.0,5506.0,31.0,23130.0,7808.0,31.0,18736.0,-3425.0,37025.0,5049.0,7.0,18700.0,4884.0,13626.0,12,0.0,0.0,5049.0,31.0,0.0,0.0,0.0,0.0,92.0,18.0,0.04007402048085486,8640.6
44,2,1,6,0,5130,94-05-11,24312,12,2026,1,94,5,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,37,30046.0,1100.0,48278.0,5602.0,36.0,18231.0,6334.0,41.0,28781.0,20296.0,41802.0,4361.0,15.0,24322.0,5776.0,1557.0,7,12964.0,15.0,4361.0,41.0,0.0,0.0,0.0,0.0,126.0,15.0,1.170693484698914,28461.9
38,1,1,6,0,5131,95-01-08,48624,24,2026,1,95,1,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,49,70083.0,200.0,134187.0,15032.0,21.0,41561.0,14899.0,68.0,59371.0,20129.0,103028.0,10126.0,15.0,52900.0,12610.0,22890.0,32,0.0,0.0,11329.0,56.0,4514.0,12.0,0.0,0.0,241.0,17.0,0.9870352089503126,47993.6
39,1,1,5,0,5132,95-02-17,538500,60,8975,1,95,2,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,22,38176.0,200.0,69776.0,11733.0,40.0,32082.0,12242.0,36.0,30945.0,14837.0,53470.0,6524.0,15.0,23800.0,5686.0,21405.0,12,0.0,0.0,6987.0,29.0,4605.0,7.0,0.0,0.0,128.0,10.0,0.04321448467966574,23271.0
22,2,1,3,0,5136,96-07-28,187104,24,7796,1,96,7,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,16,68862.0,300.0,137194.0,18044.0,2.0,43502.0,16189.0,9.0,61723.0,42553.0,88053.0,22425.0,15.0,49500.0,19673.0,23986.0,12,0.0,0.0,22425.0,9.0,0.0,0.0,0.0,0.0,219.0,4.0,0.712853279459552,133377.7
45,2,1,6,0,5138,95-05-30,87216,48,1817,1,95,5,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,41,31094.0,700.0,43787.0,5670.0,25.0,15608.0,5673.0,107.0,30752.0,20089.0,43301.0,1922.0,15.0,9900.0,2015.0,10464.0,22,0.0,0.0,2292.0,60.0,1451.0,47.0,0.0,0.0,120.0,19.0,0.33982640799853236,29638.3
64,1,1,4,0,5145,95-09-16,309552,48,6449,1,95,9,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,16,61669.0,700.0,121713.0,20682.0,56.0,58041.0,21612.0,19.0,51420.0,31194.0,71113.0,14690.0,15.0,50600.0,12469.0,700.0,1,41112.0,8.0,14796.0,15.0,14291.0,4.0,0.0,0.0,187.0,7.0,0.16733666718354268,51799.4
41,2,1,5,0,5148,96-05-29,284280,60,4738,1,96,5,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,36,73601.0,300.0,109362.0,20624.0,94.0,56756.0,21265.0,58.0,58337.0,29634.0,99625.0,11170.0,15.0,56800.0,12076.0,300.0,1,40990.0,18.0,11170.0,58.0,0.0,0.0,0.0,0.0,255.0,17.0,0.3328313634444914,94617.3
41,2,3,5,0,5151,95-05-24,189060,60,3151,1,95,5,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,14,78457.0,200.0,101794.0,21570.0,100.0,60016.0,22692.0,16.0,66806.0,31212.0,95565.0,14564.0,100.0,40300.0,13468.0,200.0,1,42869.0,7.0,16555.0,13.0,5940.0,3.0,0.0,0.0,282.0,6.0,0.3646757643076272,68945.6
55,1,1,5,0,5160,95-12-18,204000,60,3400,1,95,12,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,25,39772.0,400.0,68173.0,10772.0,49.0,30604.0,11438.0,40.0,36583.0,17220.0,61088.0,5783.0,15.0,16100.0,4632.0,1250.0,2,22103.0,12.0,5457.0,32.0,7085.0,8.0,0.0,0.0,143.0,11.0,0.22096911764705882,45077.7
54,2,1,5,0,5161,94-10-28,98184,24,4091,1,94,10,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,11,43405.0,500.0,68956.0,9060.0,74.0,24545.0,12278.0,3.0,35263.0,23793.0,44411.0,10233.0,1400.0,18200.0,8433.0,500.0,1,24545.0,4.0,10233.0,3.0,0.0,0.0,0.0,0.0,163.0,6.0,0.7023150411472339,68956.1
49,2,2,6,0,5170,94-01-20,253200,60,4220,1,94,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,21,53827.0,800.0,104418.0,13561.0,70.0,46304.0,16299.0,20.0,40451.0,15124.0,77128.0,10181.0,30.0,42600.0,12425.0,21774.0,13,0.0,0.0,10181.0,20.0,0.0,0.0,0.0,0.0,214.0,8.0,0.3205,81150.6
36,2,2,6,0,5176,94-11-12,192552,24,8023,-1,94,11,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,26,27080.0,800.0,49563.0,6091.0,10.0,23844.0,8280.0,25.0,20754.0,2310.0,47319.0,5445.0,30.0,18000.0,4916.0,13074.0,12,0.0,0.0,5445.0,25.0,0.0,0.0,0.0,0.0,105.0,14.0,0.11542596285678673,22225.5
31,2,1,6,0,5189,94-02-07,149040,48,3105,1,94,2,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,20,38065.0,200.0,62442.0,9497.0,31.0,27946.0,10744.0,34.0,36128.0,18922.0,59443.0,5026.0,15.0,15900.0,4404.0,1200.0,2,20701.0,9.0,5135.0,29.0,4397.0,5.0,0.0,0.0,136.0,9.0,0.1278052871712292,19048.1
28,2,1,6,0,5208,95-03-16,99696,48,2077,-1,95,3,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,45,56635.0,300.0,127685.0,14426.0,62.0,49327.0,16357.0,63.0,38989.0,-975.0,93945.0,9781.0,0.0,55900.0,12231.0,20854.0,31,0.0,0.0,9781.0,63.0,0.0,0.0,0.0,0.0,195.0,14.0,0.33067324666987646,32966.8
57,2,1,3,0,5209,96-11-25,182640,48,3805,1,96,11,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,17,39557.0,600.0,64412.0,11559.0,12.0,34246.0,12628.0,23.0,36505.0,20631.0,59979.0,7504.0,15.0,23900.0,6887.0,750.0,2,24258.0,8.0,8259.0,16.0,5780.0,7.0,0.0,0.0,134.0,7.0,0.13084921156373192,23898.3
53,2,1,5,0,5212,95-05-29,71064,36,1974,1,95,5,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,29,34696.0,700.0,55373.0,7802.0,32.0,22908.0,8226.0,57.0,34517.0,17936.0,54195.0,3418.0,15.0,13600.0,3543.0,13218.0,17,0.0,0.0,3467.0,39.0,3314.0,18.0,0.0,0.0,128.0,12.0,0.44181301362152425,31397.0
42,1,1,5,0,5237,95-08-29,45336,24,1889,1,95,8,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,33,48202.0,800.0,71486.0,10959.0,16.0,30436.0,11427.0,57.0,48125.0,37807.0,65556.0,5646.0,15.0,19900.0,5329.0,19944.0,18,0.0,0.0,5570.0,45.0,5930.0,12.0,0.0,0.0,178.0,15.0,0.9030240868184225,40939.5
24,2,3,6,0,5269,94-11-19,164052,36,4557,-1,94,11,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,28,48591.0,900.0,112046.0,14079.0,54.0,48181.0,16630.0,37.0,36577.0,-2565.0,99124.0,10092.0,0.0,41400.0,11553.0,24514.0,16,0.0,0.0,10092.0,37.0,0.0,0.0,0.0,0.0,165.0,12.0,0.12685733791724577,20811.2
30,2,3,5,0,5282,96-08-24,388512,48,8094,-1,96,8,42821,4,13,5,1,3,48.4,8173,5.68,7.01,124,1309,1358,42821,4,13,5,1,3,48.4,8173,5.68,7.01,124,1309,1358,54,26288.0,-2724.0,84744.0,8491.0,22.0,40855.0,10431.0,66.0,17348.0,-2839.0,73783.0,6361.0,2.0,44700.0,8469.0,13847.0,33,0.0,0.0,6361.0,66.0,0.0,0.0,0.0,0.0,75.0,21.0,0.09960387323943663,38697.3
42,2,1,6,0,5285,94-02-06,78936,12,6578,1,94,2,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,24,26020.0,900.0,40560.0,3975.0,24.0,11416.0,4055.0,27.0,25794.0,16007.0,35103.0,2622.0,15.0,6300.0,2106.0,6294.0,15,0.0,0.0,3080.0,18.0,1708.0,9.0,0.0,0.0,111.0,9.0,0.3116575453531975,24601.0
49,2,1,3,0,5301,96-07-06,141948,36,3943,1,96,7,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,7,32105.0,800.0,63263.0,9777.0,50.0,28840.0,12265.0,3.0,33731.0,19827.0,47063.0,7067.0,200.0,16200.0,8237.0,17024.0,4,0.0,0.0,7067.0,3.0,0.0,0.0,0.0,0.0,115.0,3.0,0.33279581255107504,47239.7
59,2,1,6,0,5310,95-04-28,248148,36,6893,1,95,4,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,37,40278.0,600.0,67486.0,9399.0,87.0,28362.0,9879.0,83.0,34185.0,15264.0,51020.0,3695.0,15.0,28960.0,4633.0,15693.0,22,0.0,0.0,4774.0,50.0,2059.0,33.0,0.0,0.0,168.0,15.0,0.16566162129052017,41108.6
48,1,1,5,1,5311,96-06-15,30060,60,501,1,96,6,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,45,43866.0,500.0,69383.0,10581.0,50.0,29412.0,11022.0,141.0,35090.0,12846.0,67911.0,3033.0,15.0,20000.0,4380.0,19687.0,24,0.0,0.0,4522.0,65.0,1709.0,68.0,2188.0,8.0,174.0,21.0,1.614214903526281,48523.3
46,2,2,4,0,5312,96-03-13,202788,36,5633,1,96,3,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,26,66794.0,1100.0,139881.0,26092.0,51.0,72298.0,27063.0,53.0,52380.0,25107.0,94681.0,11260.0,30.0,45200.0,10432.0,1100.0,1,51907.0,13.0,11110.0,44.0,11994.0,9.0,0.0,0.0,209.0,12.0,0.4025070516993116,81623.6
52,2,2,6,0,5314,93-07-05,96396,12,8033,-1,93,7,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,4,12250.0,1100.0,20100.0,5025.0,1100.0,9900.0,3775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5025.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20851487613593925,20100.0
31,1,1,6,0,5316,93-07-11,165960,36,4610,1,93,7,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,17,53287.0,700.0,120513.0,13523.0,3.0,36574.0,13998.0,20.0,51061.0,23795.0,103028.0,8884.0,15.0,54300.0,14075.0,19088.0,12,0.0,0.0,13019.0,12.0,2682.0,8.0,0.0,0.0,169.0,5.0,0.3145872499397445,52208.9
57,2,1,6,0,5319,94-06-23,239460,60,3991,1,94,6,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,18,44964.0,300.0,74409.0,13388.0,30.0,35918.0,14075.0,28.0,36910.0,12923.0,61999.0,7312.0,15.0,23200.0,6737.0,300.0,1,26606.0,9.0,8047.0,20.0,5476.0,8.0,0.0,0.0,154.0,8.0,0.15134302179904785,36240.6
59,2,1,6,0,5325,93-08-03,105804,36,2939,1,93,8,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,13,39400.0,1000.0,65898.0,9255.0,133.0,26448.0,9819.0,12.0,43353.0,31698.0,63098.0,7168.0,15.0,15600.0,4919.0,2450.0,2,19101.0,6.0,7203.0,10.0,6994.0,2.0,0.0,0.0,160.0,5.0,0.3241153453555631,34292.7
49,2,2,4,0,5329,96-10-16,396120,60,6602,1,96,10,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,36,67993.0,500.0,104859.0,21574.0,79.0,59415.0,22277.0,59.0,53280.0,24883.0,98059.0,11662.0,30.0,37300.0,11723.0,500.0,1,42911.0,18.0,11662.0,59.0,0.0,0.0,0.0,0.0,222.0,17.0,0.22369509239624358,88610.1
42,2,1,3,0,5337,96-07-31,162468,36,4513,1,96,7,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,10,53781.0,700.0,83863.0,15044.0,71.0,40614.0,16054.0,5.0,46277.0,26747.0,74639.0,15160.0,1100.0,34500.0,14139.0,700.0,1,29784.0,5.0,15160.0,5.0,0.0,0.0,0.0,0.0,205.0,4.0,0.45940615998227347,74638.8
44,1,2,4,0,5350,96-04-21,249312,48,5194,1,96,4,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,30,38905.0,900.0,88597.0,10920.0,46.0,47112.0,15411.0,30.0,32925.0,4557.0,69782.0,9072.0,30.0,32100.0,7807.0,19145.0,17,0.0,0.0,7799.0,24.0,14164.0,6.0,0.0,0.0,163.0,13.0,0.2223178186368887,55426.5
36,2,2,6,0,5351,94-12-04,205200,36,5700,1,94,12,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,36,61709.0,900.0,93928.0,17321.0,82.0,51303.0,18532.0,93.0,57031.0,21136.0,88028.0,6118.0,30.0,31200.0,5917.0,1900.0,2,36214.0,17.0,7345.0,54.0,4419.0,39.0,0.0,0.0,242.0,17.0,0.26601364522417154,54586.0
23,2,1,5,0,5352,95-04-15,68400,12,5700,-1,95,4,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,9,32196.0,800.0,51242.0,6972.0,66.0,31037.0,11184.0,5.0,31070.0,23798.0,38958.0,7760.0,2200.0,15800.0,5555.0,15519.0,4,0.0,0.0,7760.0,5.0,0.0,0.0,0.0,0.0,134.0,5.0,0.3500891812865497,23946.1
59,2,1,3,0,5366,96-10-29,86184,12,7182,1,96,10,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,16,73217.0,300.0,128146.0,23036.0,105.0,64642.0,24068.0,26.0,52309.0,22012.0,98754.0,12651.0,15.0,50500.0,12578.0,300.0,1,45788.0,8.0,15959.0,20.0,1622.0,6.0,0.0,0.0,282.0,7.0,0.46018750580154094,39660.8
23,2,1,3,0,5375,96-10-03,101520,12,8460,1,96,10,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,27571.0,400.0,43219.0,6133.0,33.0,18513.0,6642.0,20.0,25439.0,9983.0,39751.0,4684.0,15.0,10000.0,3673.0,10951.0,10,0.0,0.0,4987.0,16.0,3468.0,4.0,0.0,0.0,111.0,8.0,0.16470449172576831,16720.8
19,2,1,3,0,5385,96-09-09,71460,36,1985,1,96,9,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,16,48496.0,700.0,76403.0,11368.0,84.0,33669.0,12159.0,15.0,49994.0,29777.0,69139.0,8816.0,15.0,26600.0,8361.0,20038.0,9,0.0,0.0,9204.0,12.0,7264.0,3.0,0.0,0.0,220.0,7.0,0.6947788972851945,49648.9
56,1,2,3,0,5388,96-11-28,61560,12,5130,1,96,11,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,22,43605.0,200.0,73560.0,16172.0,79.0,46166.0,16691.0,49.0,28192.0,6214.0,68094.0,6851.0,30.0,30200.0,6889.0,200.0,1,32176.0,11.0,8211.0,29.0,4881.0,20.0,0.0,0.0,164.0,10.0,0.32571637426900585,20051.1
34,2,1,6,0,5390,94-10-30,170256,24,7094,1,94,10,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,31,43083.0,200.0,79870.0,11987.0,84.0,36552.0,13358.0,46.0,38075.0,19755.0,54946.0,7137.0,15.0,29300.0,6456.0,20523.0,18,0.0,0.0,7474.0,36.0,5922.0,10.0,0.0,0.0,167.0,13.0,0.25433934780565737,43302.8
33,2,1,6,0,5395,94-07-30,299088,36,8308,-1,94,7,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,46,64026.0,500.0,193910.0,17669.0,46.0,47189.0,16698.0,80.0,45074.0,5250.0,137910.0,9916.0,15.0,59400.0,12509.0,24554.0,33,0.0,0.0,12833.0,56.0,3110.0,24.0,0.0,0.0,189.0,13.0,0.06502601241106297,19448.5
